id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,instrumentalness,language,duration_sec
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,88,2020,0.02,english,198
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,72,2020,0.85,instrumental,176
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,65,2010,0.05,english,224
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,60,2020,0.90,instrumental,190
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,91,2020,0.01,english,205
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,48,2020,0.95,instrumental,260
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,55,2010,0.60,instrumental,212
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,70,2010,0.40,english,233
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,68,2020,0.88,instrumental,180
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,77,2020,0.10,english,201
11,Concrete Kings,Blockprint,hip-hop,energetic,0.80,95,0.62,0.90,0.08,84,2020,0.03,english,188
12,Neon Warehouse,Pulse Theory,edm,energetic,0.95,128,0.70,0.91,0.02,80,2020,0.20,instrumental,240
13,Winter Nocturne,Clara Wynn,classical,melancholy,0.22,66,0.30,0.24,0.95,40,2000,0.98,instrumental,300
14,Velvet Hours,Sable Rose,r&b,romantic,0.55,84,0.68,0.76,0.30,73,2010,0.05,english,218
15,Iron Verdict,Ashfall,metal,aggressive,0.98,168,0.35,0.60,0.03,58,2010,0.08,english,256
16,Dust Road Home,Ryan Colt,country,nostalgic,0.50,100,0.64,0.55,0.72,62,2000,0.15,english,215
17,Island Time,Kalea Sound,reggae,relaxed,0.58,96,0.83,0.80,0.40,66,2010,0.12,english,209
18,Paper Boats,Hollow Pines,folk,dreamy,0.33,88,0.52,0.44,0.90,52,2020,0.55,english,195
